masked,original
아들이 너무염성 똑부러지네 ~ ~ 개씨..,아들이 너무 귀염성 똑부러지네~~개리씨 응원합니다..
##다는 말이 어울리는 분,아름답다는 말이 어울리는 분
아무리 공인이기에 행동을 더 조심해야하는건 이해 무슨이유든 성형하는것 까지 대중의 허락을 받아야하는건가요? 휴 진심 피곤 구하라씨,아무리 공인이기에 행동을 더 조심해야하는건 이해하지만 무슨이유든 성형하는것 까지 대중의 허락을 받아야하는건가요? 휴 진심 피곤하겠네요 구하라씨 ㅜㅜ
아무리 나이가 어려도 남편을 존중해주세요 애기도 태어났는데 남편한데 너 정말 거북하네요,아무리 나이가 어려도 남편을 존중해주세요 애기도 태어났는데 남편한데 너 라고 하니 정말 듣기 거북하네요
아무리 방탄이 대단하다고 하지만 워너원도 없고 과연장이 꽉질까? ㅋㅋㅋㅋ,아무리 방탄이 대단하다고 하지만 내년엔 워너원도 없고 과연 시상식장이 꽉 채워질까?ㅋㅋㅋㅋ
아무리그래도 오나라 머리끄댕이잡고시은 넘,아무리그래도 오나라 머리끄댕이잡고 메이플시럽은 넘했다
아무리라해도 그눈빛보면 어느정도 느낄수있지 사귄다에한표 ~ 키스신도무지많던데 없던감정도생길듯 잘림요 ~,아무리연기라해도 그눈빛보면 어느정도 느낄수있지 사귄다에한표~~키스신도무지많던데 없던감정도생길듯 잘어울림요~
,아빠 닮았네
아빠가 거기서 ㅋㅋㅋㅋㅋㅋ......,아빠가 거기서 왜 나와 ㅋㅋㅋㅋㅋㅋㅋ......
##으면 남편복던데,아빠닮으면 남편복있다던데
##랑 닮았네. ㅋ,아빠랑 너무 닮았네요.ㅋ
아쉬움 같은 소리함묘.. 하차하고 tvN에서 하는 새프로 미쓰코리아로 갈아묘.. 한고은님 나오는.. 같은 tvN 없슴묘..,아쉬움 같은 소리함묘..하차하고 tvN에서 하는 새프로 미쓰코리아로 갈아 탐묘..한고은님 나오는 프로 .. 같은 tvN 문제는 없슴묘..
성인역으로 변신의 올바른,아역에서 성인역으로 변신의 올바른 예
,아유 이뻐라
아유 ~ ~ ~ ~라! ^ ^게게 커라 ~ ♥,아유~~~~예뻐라!^^ 밝게 맑게 커라~♥
아육대 풋 씹어드시던 분인데 이젠 아육대살목도 없어져서 노지훈씨를 못보네... ㅠㅠ,아육대 풋살 씹어드시던 분인데 이젠 아육대 풋살종목도 없어져서 노지훈씨를 못보네...ㅠㅠ
아이고!!! 같은 강동구 주민 ~ ~ ~ ~ 한번 먹으러겠어유,아이고!!! 같은 강동구 주민이네유~~~~한번 먹으러 가야겠어유
##들 연기하는것도 이제 더는 못봐주겠다. 이렇게 예쁜자들 많이 발굴해서 잘 키웠으면 좋겠음,아이돌들 연기하는것도 이제 더는 못봐주겠다.. 이렇게 예쁜연기자들 많이 발굴해서 잘 키웠으면 좋겠음
엄마 닮아서 다 ~ + _ +,아이들이 엄마 닮아서 다 귀여워요~ +_+
##샤가죽k토르도망가지고아직도여운이 강하게남는다,아이언맨 나타샤가죽다니k토르도망가지고아직도여운이 강하게남는다
아이언맨이랑 나타샤 죽 슬,아이언맨이랑 나타샤 죽습니다 너무 슬픕니다
아이오케이 장윤,아이오케이 장윤정 화이팅
아이유 6년째 소니 오디오모델 욕한줄 ㅋㅋ,아이유 6년째 소니 오디오모델하는데 욕한줄이없네 ㅋㅋ
,아이유 따라하지마
아이유는 가수들과는 다른 선상에서 봐야지 그냥 연기자 그것도 백수상 후보,아이유는 가수들과는 다른 선상에서 봐야지 그냥 연기자 그것도 백상최우수상 후보
##랑하세요,아이유랑 결혼하세요
아직 이정도가지고 체험하긴지 않나 더 높이 올라가봐야지 안변할지 알겠지,아직 이정도가지고 인기 체험하긴 이르지 않나 더 높이 올라가봐야 변할지 안변할지 알겠지
아직 잘 몰겠음 무슨정이있을 넘아파야 여자하나 잘못만나 그나이에 어째여,아직 잘 몰겠음 무슨 속사정이있을듯 넘 맘이아파야 여자하나 잘못만나 그나이에 어째여
아직모르는두고이란심하네양쪽말은안들어보고 이렇게 한사람또매장,아직모르는사실을두고 퇴출이란 너무심하네양쪽말은안들어보고 이렇게 한사람또매장
아진짜엥가라없으면 앉있는거지 말그대로 배려석이지 임산부있으면 비켜주면되는거구만,아진짜엥가이해라 사람없으면 앉을수있는거지 말그대로 배려석이지 임산부있으면 비켜주면되는거구만
아진짴ㅋㅋㅋㅋㅋ오만에날정도로었다ㅋㅋㅋㅌ,아진짴ㅋㅋㅋㅋㅋ오랜만에 눈물날정도로 웃었다ㅋㅋㅋㅌ
##지마 장디매!!!,아프지마 장디매ㅠㅠ!!!
악엔구,악 해피엔딩 가자구
,악플 캡쳐 완료
악플러들 댓글쳐!! 현아야 악플러 회사게시판에첨부해서올려줄께!!! 당당하게 무대에서빛나길바래❤,악플러들 댓글캡쳐 !!현아야 악플러고소할때 회사게시판에첨부해서올려줄께!!!당당하게 무대에서빛나길바래❤
##하세요 하느님 생생함,안녕하세요 하느님 드라마 아직도 생생함
안봐도 활동 중단 사람 아님 ㅎ,안봐도 갑자기 활동 중단한 사람 아님 ㅎ ?
안재현!! 딱보이드라.. 신혼일기 보면서.. 잘생각했어 이혼하고길길 ~,안재현 화이팅!! 딱보이드라..신혼일기 보면서..잘생각했어 이혼하고 꽃길 걷길~
안타깝지만 평소 생활이 독된거같네요치하시길바랍니다,안타깝지만 평소 생활습관이 독이된거같네요완치하시길바랍니다
##현모가 아깝다 나이가 36이다. 그리울것도 없다.,안현모가 아깝다 하는데 나이가 36이다. 그리 아까울것도 없다.
,알았다 고마해라
알츠하이머 환자는 가족이 돌보는데 한계가 있어요.요양병원에서 돌보시고 가족은 병문안가시는게 좋은데. 잘리라요. 그리고,알츠하이머 환자는 가족이 돌보는데 한계가 있어요. 전문요양병원에서 돌보시고 가족은 병문안가시는게 좋은데. 잘 하시리라 믿어요. 그리고
알달 아아커플 ^ ^,알콩달콩 예쁜 아아커플^^
##리 결혼 했었나요? ㅎㅎ드려요 ^ ^,앗 페트리 결혼 했었나요?ㅎㅎ 축하드려요^^
앞으로 이 아나는히 sns나할듯.,앞으로 이 아나는특별히 sns금지나 조심해야할듯.
애 아직어러서 많이데 때 밥 되지,애 아직어러서 많이 자는데잘 때 밥 먹으면 되지
애가이냐? 부모 믿은거. 전화로 물어봤다는데 아니라니까 그거 믿고 들이댄게잘못이지.,애가 뭔잘못이냐?부모 믿은거 뿐이지.전화로 물어봤다는데 아니라니까 그거 믿고 들이댄게잘못이지.
##하고 다닐건데 조금 앞서 공개 됐다고 뭐가 문제인가?,애가 크면 자랑하고 다닐건데 조금 앞서 공개 됐다고 뭐가 문제인가?
##살인 유모차를 태우는구나,애기 5살인데도 유모차를 태우는구나
애기 너무 안쓰럽고 불쌍하다.. ㅠㅠ.. 부디 부모없다고죽크렴.. ㅠㅠ,애기 너무 안쓰럽고 불쌍하다..ㅠㅠ..부디 부모없다고 기죽지말고 잘크렴..ㅠㅠ
##당 ^ ^ *,애기 넘 이쁘당^^*
애기가 뭐같이 이쁘기는 ㅋㅋ,애기가 뭐 다똑같이 이쁘기는 ㅋㅋ
애넨 3패하면 그대로 촬영종료다 일자리 한곳이 날아가게 당연히 절실하게,애넨 3패하면 그대로 촬영종료다 일자리 한곳이 날아가게생겼는데 당연히 절실하게 하겠지
애둘이 다둥맘인가요. 지금 다섯째 임신중인데요 둘을 다둥맘하니ㅋㅋ걍ㅋㅋ,애둘이 다둥맘인가요. 제가 지금 다섯째 임신중인데요 둘을 다둥맘이라하니ㅋㅋ걍 웃음이ㅋㅋ
애들 교육에 안좋을까봐 바로 채널 돌렸 ^ ^,애들 교육에 안좋을까봐 바로 채널 돌렸네요.. ^^
##할 사람과 성관계 ~ ~,애초에 결혼할 사람과 성관계 가져라~~
앨범홍보때문에린거자나게자,앨범홍보때문에 터트린거자나 이쁘게봐주자
,양배추 아닌가
,양준혁 화이팅
양지원이랑조정 옛날에 사귀었어어요하면서 거미만나기전석유명하기전에,양지원이랑조정석은 옛날에 사귀었어어요 뮤지컬하면서 거미만나기전 조정석유명하기전에
얘 아직 하나 ; 흑인생...,얘 아직 하나; 흑인 공대생 간호사 비하...
얘네 둘이 감정선 호흡이 끝나고 사귈수도..? ㅎㅎㅎ,얘네 둘이 감정선 호흡이 너무 좋다 드라마 끝나고 사귈수도..?ㅎㅎㅎ
"어느 사주가가 이 커플 결혼 2 ~ 3년 사이에 사이가 급격히 나빠져 이혼 위기가 올 수 있다고 한 봤는데, 역시 팔자 못 벗어나고,이라는게 있구나 싶었다","어느 사주가가 이 커플 결혼 2~3년 사이에 사이가 급격히 나빠져 이혼 위기가 올 수 있다고 한 글을 봤는데, 역시 사람 팔자 못 벗어나고, 궁합이라는게 있구나 싶었다"
어딜봐서 임현주가 여우? 남자도 못하나.,어딜봐서 임현주가 여우? 좋아하는 남자 앞에서 표현도 못하나.
##는 설현닮 ㅋㅋㅋ,어떤기사에는 설현닮았다고 ㅋㅋㅋ
##고지냐. 얼굴이,어떻게 저리고급지냐.얼굴이
하면 잘길 수가 있지?,어떻게 하면 저렇게 잘생길 수가 있지?
어릴때얼굴네 ~하길 바랍니다 ~ ^ ^,어릴때 예쁜얼굴 그대로네~흥하길 바랍니다~^^
어머니 진짜 고우시더라. 수수하게 해두 이쁘신데 꾸미시니 부잣집 어머니 같으심. 주름살 그 연에 거 아니고 피부도 완전백옥.. 외모만 보면 고생 1도 안하고 관리만 하셨을 것 같이 고우심.,어머니 진짜 고우시더라. 수수하게 해두 이쁘신데 꾸미시니 부잣집 어머니 같으심. 주름살두 그 연배에 많은 거 아니고 피부도 완전백옥.. 외모만 보면 고생 1도 안하고 관리만 하셨을 것 같이 고우심.
"어이, 「 」 를린건가 - -","어이, 난 「 너 」를 잊어버린건가--"
어제 넘웃겻어여 ㅋㅋ특히 도전골벨 ㅋㅋㅋ코테하라,어제 넘웃겻어여 ㅋㅋ특히 도전골든벨 ㅋㅋㅋ코요테 영원하라
##겼음! ㅋ,어제 완전 웃겼음!ㅋ
어제방송봤는데 정해인보다 더적으로 생겼,어제방송봤는데 정해인보다 더 호감적으로 생겼던데.
,어지간히 급했다
어째ᆢ갈수록 재미가 없어지네성훈ㆍ박나래만음,어째ᆢ갈수록 재미가 없어지네성훈ㆍ박나래 편만 잼났음
어쩐대 ~ ~ ~ 김 진아 조아것가뜨만,어쩐대~~~김 정훈 진짜 진아 조아하던것가뜨만
강성훈 젝키는 색깔을 잃는다... 젝키가 아닌 다른이 되야 할듯,어차피 강성훈 없으면 젝키는 색깔을 잃는다...젝키가 아닌 다른 팀이 되야 할듯
어케다랑 잘리냐,어케다들 만화랑 잘어울리냐
어휴.... 임하룡 선생님 땐이 이렇지 않았는데 임짱,어휴 ....임하룡 선생님 땐 예능이 이렇지 않았는데 그립습니다 임짱
언니염 소두두,언니 멋져염 소두다 소두
언제나오는?어용 두분,언제나오는고?보고싶어용 두분~
얼굴 몸매요 세젤예행하세요 ~ ~ ~,얼굴 몸매 모든게 아름다워요 세젤예행복하세요~~~
얼굴 사람이 저렇게까지 하는 분명.... 먼가 있을 것 같네 ~ ~,얼굴 알려진 사람이 저렇게까지 하는 이유가 분명 있겠지.... 먼가 있을 것 같네~~
얼굴도 착하게 생겼는데 사람이 아니죠. 뭔가 오해가 있는간같은데 정준영생겼고 절대 사람이 아니에요♡,얼굴도 착하게 생겼는데 그럴 사람이 아니죠. 뭔가 오해가 있는간같은데 정준영 잘생겼고 절대 그럴 사람이 아니에요♡
얼굴도.다. 심지어 이름도다♡,얼굴도.마음도 이쁘다.심지어 이름도 이쁘다♡
얼굴은해서 조연정도할듯,얼굴은 좀 평범해서 조연정도 유지할듯
진짜적이게 생겼,얼굴은 진짜 매력적이게 생겼지
얼마보는 배우다운 비주얼이냐? 둘 얼굴만봐도 존잼 송혜교 죽인다진 얼굴,얼마만에보는 배우다운 비주얼이냐? 둘 얼굴만봐도 존잼 송혜교 분위기 죽인다 고급진 얼굴
엄마 닮아서 길쭉하니♡,엄마 닮아서 길쭉하니 이쁘네요♡♡♡
엄마 돌아가시고 나서야 후회해봤자 아무런 소용없어요. 살아 계실때 잘해주세요. 미 고씨 당신을 낳아준 엄마입니다.,엄마 돌아가시고 나서야 후회해봤자 아무런 소용없어요.살아 계실때 잘해주세요.미우나 고우나 윤정씨 당신을 낳아준 엄마입니다.
엄마가 황인데 구찌 옷이 대수겠냐.다 ~,엄마가 황신혜인데 구찌 옷이 대수겠냐. 이쁘다~
엄마닮아서 ~!!,엄마닮아서 천만다행~!!
,엄마한테 잘해야 해요
##씨가 아깝당,에고 김진아씨가 아깝당
에구 썩어서 득이 없는 인간을 대하는 임블리.,에구 절대 말 썩어서 득이 없는 인간을 대하는 임블리 힘내세요.
에림이... 워낙 티비에서 애기때부터 봐와서 자그마하게가 하는데... 열심히 해봐라 ㅡ,에림이...워낙 티비에서 애기때부터 봐와서 자그마하게 정이가긴 하는데...열심히 해봐라 ㅡㅜ
에스더 자신감 무엇ㅋㅋㅋㅋㅋㅋ 나라면 얼어붙을 자리인데 자진해서 노래부르는 장면보고함ㅋㅋ 에스더가 문단열딸인지알았네 할리 아들도 수줍어하는데생겼넼,에스더 자신감 무엇ㅋㅋㅋㅋㅋㅋ 나라면 얼어붙을 자리인데 자진해서 노래부르는 장면보고 감탄함ㅋㅋ 에스더가 문단열딸인지 첨알았네 할리 아들도 수줍어하는데 잘생겼넼
에스더 따하고 큰 사람같네요,에스더 정말 마음이 따듯하고 큰 사람같네요
에이미..것..,에이미.. 넘 이상한것 같음..
에이프릴 이나은 해도 너무하더라♡,에이프릴 이나은 고정 해도될듯 너무잘하더라♡
에이 이나은 에이틴 김하나거봐,에이프릴 이나은 에이틴 김하나 예쁜거봐
"에휴 그냥 곱게 어디 덧나나께 뭐있다구,,,,","에휴 그냥 곱게 봐주면 어디 덧나나 욕할께 뭐있다구 ,,,,"
.. 결국 손주도 못보고 가시.. 빕니다,에휴..결국 손주도 못보고 가시는구나..명복을 빕니다
에휴셋ㅋ 돈많으니 뭐 ~ ~,에휴ㅠㅠ 아들셋이라ㅋ 돈많으니 뭐~~
##가돈으로 앨범내냐,엑소가 번돈으로 앨범내냐
##가 제자?? 겁나 부럽다...,엑소가 제자?? 겁나 부럽다...
엠랙도 참 불쌍하다 한창갈수 있는되이 공중분해되고 회사 없어지고,엠블랙도 참 불쌍하다 한창 잘나갈수 있는되 팀이 공중분해되고 회사 없어지고
##데?보인다ㅋㅋ 외모로는 이미 배우지,엥 이쁜데? 달라보인다ㅋㅋ 외모로는 이미 배우지
!!! 김용국 조선족인데 왜생겼나요?,여러분!!! 김용국 조선족인데 왜 이렇게 잘생겼나요?
여러분. 악플갑시다. 진짜로 부탁드립니다,여러분. 악플은 삼갑시다. 진짜로 부탁드립니다.
여상진샘술 ~ ^ ^,여상진샘 수리논술 천재~^^
##따로없다 진심,여신이따로없다 진심
여자 얼굴이햄,여자 얼굴이 궁금햄
여자 오윤아앗 내탈,여자 오윤아 닮앗던데 내스탈
여자다.. 저러니지,여자 이쁘다.. 저러니 사귀지 부럽다
##지,여자가 아깝지
여자가 저런 말한다는거자체가 얼마나있냐.. 자이언트크 더생김..,여자가 저런 말한다는거자체가 얼마나 매력있냐.. 자이언트핑크 매력 더생김..
"여자가 사랑스럽고 귀엽고 예쁘냐 ~ 현무, 한 뿅! 갈만","여자가봐도 왜케 사랑스럽고 귀엽고 예쁘냐~ 현무, 한 눈에 뿅! 갈만"
여자는 얼굴보다실. 근데 얼굴도심.,여자는 얼굴보다 요리실력. 근데 얼굴도 이쁘심.
여자는 역시 널널한 와이 입 때가 제일 좋아. ㅎㅎ 김지원 너무다. ㅎㅎ,여자는 역시 널널한 와이셔츠 입었을 때가 제일 좋아.ㅎㅎ 김지원 너무 예쁘다.ㅎㅎ
여자들도 아무한테나 자기야하는사람있는데 그것도성인것요,여자들도 아무한테나 자기야라고하는사람있는데 그것도성희롱인것같은데요
여자들은 윤아를 그렇게 싫어,여자들은 왜 윤아를 그렇게 싫어할까요?
여자!!! 솔직히 이던이 친오빠 좋겠죠,여자분들!!! 솔직히 이던이 친오빠였으면 좋겠죠?
여자 게임방송국에서 일하셨던분으로 방송인 연예인 그런게ㅋㅋ,여자분은 게임방송국에서 일하셨던분으로 방송인인데 연예인 그런게 맞죠ㅋㅋ
여자한테 꽃이라는 그렇,여자한테 꽃이라는 표현은 좀 그렇네요
##시,여전히 이쁘시구만
손이 했으 좋겠다,여주 손예진이 했으먄 좋겠다
옷을 보면 볼수록 이다희가 생각나네잘을꺼 같은데....,여주 옷을 보면 볼수록 이다희가 생각나네ㅜㅜ잘 어울렸을꺼 같은데....
##가있는이유는 마지막은 여자랑되겧ㄴ게원칙인데.... 제발님 제발 ^ ^ 둘이그냥 다시게해줘요제발 ^ ^,여주가있는이유는 마지막은 여자랑되겧ㄴ게원칙인데 ....제발 작가님 제발 ^^ 둘이그냥 다시만나게해줘요제발 ^^
여행은 꿈도 못꾸는 사람들도 있습니다 네이버와 기자님들의 생각과 배려가 아쉽네요 뉴스의 조건은 초등학생 배운,여행은 꿈도 못꾸는 사람들도 있습니다 네이버와 기자님들의 생각과 배려가 아쉽네요 좋은 뉴스의 조건은 초등학생들도 배운답니다
,역대급으로 재미없다
##빨도 못하는거임,역시 머리빨도 무시 못하는거임
역시 여자였어 응원,역시 멋진 여자였어 응원해요
역시 미스리아 딸이라 ~ ~!,역시 미스코리아 딸이라 예쁘네요~~!
역시 이연희파,역시 이연희 실력파 연기배우
장문복이 떨어질,역시 장문복이 떨어질리가 없는데
##보 ~ ~!! 역시 마인드하나는 최고야!!,역시 조보아~~!!역시 마인드하나는 최고야!!
역시은정,역시 트롯은 장윤정
역시나은 피쉬,역시나 웨딩영상은 피쉬트리
편하게 아닌가!죽여 봐야하는것도 아니고... 별걸다 시비네.,연극 편하게 보는거 아닌가! 숨죽여 봐야하는것도 아니고. .. 별걸다 시비네.
연기 너무시던데 연기자의도 걸어보세요...,연기 너무 잘하시던데 본격적으로 연기자의 길도 걸어보세요...
##나게 잘하시,연기 실감나게 잘하시더군요
연기는 몰라도 비주얼은 정말 잘림 예쁘고 멋졌음 세자빈연,연기는 몰라도 비주얼은 정말 잘어울림 예쁘고 멋졌음 세자빈이랑 무연
##도 조여 젤음,연기도 조여정이 젤 좋았음
연기도이던데!!!!니동,연기도 찰떡이던데!!!! 응원합니동
"연기를 하고 있다는게 너무 티가나서순간마다 부담스러웠다,하자성공에해지지마라","연기를 하고 있다는게 너무 티가나서순간마다 부담스러웠다 , 노력하자 지금의성공에 해이해지지마라"
##들 뭔,연기안한들 뭔걱정
##신 나문희선생님,연기의신 나문희선생님 압승
학부모 ㅡ 애들 싶은듯 ㅡ 한국에 아들오실듯,연세대 학부모 ㅡ 애들 보고 싶은듯 ㅡ 한국에 아들 보러오실듯
연세대가 뭐 어때서..대보다 못하 같은데 ㅋㅋㅋㅋ,연세대가 뭐 어때서.. 뉴욕대보다 못하진 않을거 같은데 ㅋㅋㅋㅋ
연애한다고한다는게같에. 솔직한게 신뢰있고지 이상해이상해,연애한다고 퇴출한다는게 이상한거같에. 솔직한게 신뢰있고 좋은거지 이상해이상해
##이 워낙 좋아서 가능할 듯 ~,연예계 인맥이 워낙 좋아서 복귀 가능할 듯~
연예계의 악플몰이 설리수첩에 악플로 고통받았다는 1도 없었다,연예계의 악플몰이 무섭다 설리수첩에 악플로 고통받았다는 얘기는 1도 없었다던데
연예인들중에 입이 싸서 자기얘기 못한다는 사람들이 몇 있는데 그중에 지석진은 없었음... 동료의은 보호 게 맞음.,연예인들중에 입이 싸서 자기얘기 못한다는 사람들이 몇 있는데 그중에 지석진은 없었음...어느정도 동료의 사생활은 보호해주는 게 맞음.
"연예인인데 이미지 생각하고 나 몰라라 무책임하게 생각할 수 있는데,있고 나이도 생각보다 있네. 남자치고감이,, 곧 결혼할 나이임..","연예인인데 이미지 생각하고 나 몰라라 무책임하게 생각할 수 있는데, 책임감있고 나이도 생각보다 있네. 남자치고 이른감이 있지만,, 곧 결혼할 나이임.."
##제도 아니고 마닷이냐? 빚청산하고 피해자들과 합의를 다 마닷아 도시어부에 다시 나와라 마닷이 없이니 뭔가 허전함,연좌제도 아니고 마닷이 무슨죄냐? 빚청산하고 피해자들과 합의를 다 한다면 마닷아 도시어부에 다시 나와라 마닷이 없이니 뭔가 허전함
##바때,연희 좋아 감바때
하는분인데 암이 걸리는지 안됨묘ᆢ,열심히 하는분인데 왜 암이 걸리는지 이해가 안됨묘ᆢ
##승려 기대됩니다 ~ ~앙 ~ ~,열혈승려 기대됩니다~~가즈앙~~
##정아척,염정아 연기력 엄지척
영상보니깐 팬들 앞인데 몸 터치 했다가 괜한 받을까봐 머리카락 살짝 댕긴거 같던데... 보면 살짝 대기고 그 여자아이돌이 그쪽으로 돌아 걸어와서 쎄게 당긴거처럼거지 당긴 듯...,영상보니깐 팬들 앞인데 몸 터치 했다가 괜한 오해 받을까봐 머리카락 살짝 댕긴거 같던데...보면 살짝 대기고 그 여자아이돌이 그쪽으로 돌아 걸어와서 쎄게 당긴거처럼 보이는거지 살짝 당긴 듯...
영애 피부가 하요 ~ ~요 ~ ~ ☆ ~,영애님 피부가 하애요~~ 이뻐요~~☆~
"##로 신소율 위치보다 연, 뮤계 김지 위치가 급이 더 높은데 지철이도하나 해야할듯","영화로 신소율 위치보다 연,뮤계 김지철 위치가 급이 더 높은데 지철이도 영화하나 해야할듯"
,예뻐용 ㅎㅎ
##게 컷네 ㅎ ㅎ ㅎ,예쁘게 잘 컷네 ㅎ ㅎ ㅎ
##네 엄마 아빠 고루음,예쁘네.엄마 아빠 고루 닮음
##다. 이혼녀 환영,예쁘다. 이혼녀라도 환영한다
두 유전자가 아까워용세가 빨리 찾아오길 ~ ~ ~ ~ ~,예쁜 두 유전자가 아까워용 예쁜 2세가 빨리 찾아오길~~~~~
딸이었으면 ㅎㅎㅎ,예쁜 딸이었으면 좋겠다 ㅎㅎㅎ
~!! 효린 옛날 대박이던데 ~ ㅋㅋㅋㅋ,예쁜데요~!! 효린 옛날 사진은 대박이던데~ㅋㅋㅋㅋ
예상.. 한국으로 돌아갔는데 형버지가 협박하며채려함그래서 끝장을보러 다시 그라나다로..,예상..한국으로 돌아갔는데 형석아버지가 협박하며 회사를 가로채려함그래서 끝장을보러 다시 그라나다로..
##서다.,예서 이쁘다..
예서 진짜 고딩인줄...살이 ㄷㄷ 김혜윤 올해는 꽃길만 걷길,예서 진짜 고딩인줄 알았는데...23살이었음 ㄷㄷ 김혜윤 올해는 꽃길만 걷길
예서는 멘탈이 약한 아이입니다 ~ 잘 주 ~!,예서는 멘탈이 약한 아이입니다~ 잘 케어 해 주십쇼~!
##들의 사랑,예술가들의 아름다운 사랑 응원합니다
##만하지 ㅠㅠ,예원만 불쌍하지 ㅠㅠ
예원아 반가웠다. 마음이 더 성숙한예전처럼 왕성한렴. 화이팅!!,예원아 반가웠다. 마음이 더 성숙한 모습으로예전처럼 왕성한 활동 보여주렴. 화이팅!!
예원이거,예원이가 불쌍한거였어
예원이가 훨씬 어리고 훨씬쁨,예원이가 훨씬 어리고 훨씬 예쁨
예인이 악플을'보고'욕한 것이 맞나? 당시 상황은 멤버가 편의점 갔다가 브이앱 도중 조용해진 방에 들어오며 욕을한 것이라 매니저 혹은 일상의 다른 한 것일 수 있다. 욕 걸그룹일 뿐.,예인이 악플을 '보고' 욕한 것이 맞나? 당시 상황은 멤버가 편의점 갔다가 브이앱 도중 조용해진 방에 들어오며 욕을한 것이라 매니저 혹은 일상의 다른 사람에게 한 것일 수 있다. 팩트는 욕한 걸그룹일 뿐.
예전에 김성수랑 혜빈이엄마랑 혜빈이 돌도 안됐을때관능 같은거 나왔던걸로 기억하는데.. 그거 즐겨봤었어서 사건때 충격이 컸어요.,예전에 김성수랑 혜빈이엄마랑 혜빈이 돌도 안됐을때 가족관찰예능 같은거 나왔던걸로 기억하는데.. 그거 즐겨봤었어서 사건때 충격이 컸어요.
##이나 외모가...,예전이나 외모가 똑같네. . .
##롤...이...,오 케롤... 작품이...
오나라 누나면초반도 좋아할,오나라 누나면 20대초반도 좋아할거같아
,오늘 기대기대
오늘 애 나와서 안봤다 한은영수뻤대매??? 짤로봐야지,오늘 애 나와서 안봤다 한고은신영수예뻤대매???짤로봐야지
##고기만한대 반응이.. ㅋㅋㅋㅋ,오늘 재밌고 웃기기만한대 반응이..ㅋㅋㅋㅋ
오늘 종자한 안나와서 좀 아쉬웟지만 그래도있게 잘봣 ~,오늘 종혁자한 안나와서 좀 아쉬웟지만 그래도 잼있게 잘봣습니다 ~
##었다 ㅋㅋㅋㅋ 홍진영 애교 굿굿,오늘 짱 재밋었다 ㅋㅋㅋㅋ 홍진영 애교 굿굿
오늘밤 너와나 단서파리,오늘밤 너와나 단둘이서 파리파리
,오늘은 이거다
오달한 거 보고 싶었는데 이런 일이..,오달수 드라마 복귀한 거 보고 싶었는데 이런 일이..
오달것 맞음.. 까지 마세요.,오달수는 억울한것 맞음.. 너무 까지 마세요.
오달수씨가 그런일만. 잼났지싶은데,오달수씨가 그런일만 아니었음 ..아깝다 잼났지싶은데
##갈같지음.. 조만간..,오래갈꺼같지않음.. 조만간 ..
오래사는거 보니 보기기만하구만 아이돌커도 길게갈수있다는걸 보여주길,오래사귀는거 보니 보기좋기만하구만 아이돌커플도 길게갈수있다는걸 보여주길
"오랫동안준남편, 시댁어른들. 진짜","오랫동안 기다려준남편,시댁어른들.. 진짜 대단하다"
오랫만에 봤는데 승재 많이 크고 너무 의젓잘라 승재야 ~ ~ ~,오랫만에 봤는데 승재 많이 크고 너무 의젓해졌어요잘커라 승재야~~~
오빠 판박이! 애들이티 흘러,오빠 판박이! 애들이 귀티가 흘러요
오빠랑할래,오빠랑 결혼할래.
##창 이채은 너무 잘어울려요. 영원하시길. 너무 비쥬얼.뽀요 둘이 완죤 잘 어울려요 ㅎㅎ,오창석 이채은 너무 잘어울려요. 영원하시길. 너무 비쥬얼. 이뽀요 둘이 완죤 잘 어울려요 ㅎㅎ
##창 이채은은 짜여진 각본대로 움직인다 ^,오창석 이채은은 짜여진 각본대로 움직인다^^
오창석 채은 잘려요까지갈 ~ ~ ^ ^,오창석 채은 잘어울려요 결혼까지갈것같다 ~~^^
##창 커플 잼 ^ ^ ♡,오창석 커플 잼있음^^♡
##창 ㅠㅠ,오창석이 아까워 ㅠㅠ
오현 겁나이,오현경대박 겁나이쁨
옥현계탑,옥주현 뮤지컬계 원탑
온유 은퇴 하지? 클럽,온유 은퇴한다고 하지 않았나? 클럽 때문에
온유리가 부사장 딸녀인데 그게 들통나서 딸이라고 한게.????,온유리가 부사장 딸 아니고 내연녀인데 그게 들통나서 딸이라고 한게 맞아요.????
##인거 진즉에거덩?,온유리인거 진즉에 알았거덩?
개이 ㅌ,와 개이쁨 ㅌ
와 근데 진짜 한효주 세상에서 제일다,와 근데 진짜 한효주 예쁘기는 세상에서 제일 예쁘다
와 도플싱어가요제 완전됨 ㅋㅋㅌㅋㅋㅋㅋㅋㅋ 거미 린 케이윌 절친들 셋이 나오다니 ㅋㅋㅋㅋㅋㅋ 게다가 박미경 바다 ㅋㅋㅋㅋㅋㅋㅋ 너,와 도플싱어가요제 완전 기대됨 ㅋㅋㅌㅋㅋㅋㅋㅋㅋ 거미 린 케이윌 절친들 셋이 나오다니 ㅋㅋㅋㅋㅋㅋ 게다가 박미경 바다 ㅋㅋㅋㅋㅋㅋㅋ 너므 기대된다
와 셋 다 다르네ㅋㅋㅋ 첫째는 첫째같이 공부하게 생겼고 둘째는게 생겼고는 잘게 생겼네ㅋ,와 셋 다 다르네ㅋㅋㅋ 첫째는 첫째같이 공부하게 생겼고 둘째는 이쁘게 생겼고 셋째는 잘 놀게 생겼네ㅋ
